data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6453174,682,SAU4899,4899,"08 May 2019",2019,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Saudi Arabia (2015-)",,1,,,0,10,"Middle East","Saudi Arabia",Asir,"Zahran al Janub",,"Al Mijazah",17.5204,43.5667,1,"Al Masirah; Yemen Data Project","Local partner-Regional","On May 8, a Saudi air raid was reported on Al-Mijazah area of Asir governorate in southern Saudi Arabia, with no report of fatalities nor injuries.",0,1576530940,SAU
6453178,682,SAU4901,4901,"08 May 2019",2019,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Military Forces of Saudi Arabia (2015-)",,1,18,"Middle East","Saudi Arabia",Najran,Najran,,Najran,17.4933,44.1277,1,"Ansar Allah; Yemen Data Project","Local partner-Regional","On May 8, pro-Houthi forces claimed to have destroyed a military bulldozer with a guided missile in Al-Tala'ah area of Najran governorate, with no report of fatalities nor injuries.",0,1576530940,SAU
6453231,682,SAU4896,4896,"06 May 2019",2019,1,Battles,"Armed clash","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Jizan,Samitah,,"Al Kirs",16.5773,42.9476,1,"Ansar Allah; Yemen Data Project","Local partner-Regional","On May 6, pro-Houthi forces claimed to have attacked Saudi-affiliated forces in Al-Qumamah and Al-Kirs areas of Jizan governorate, killing and injuring a number of fighters. Unknown reported fatalities coded as 10.",10,1576530940,SAU
6453232,682,SAU4891,4891,"06 May 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Asir,"Zahran al Janub",,"Al Mijazah",17.5204,43.5667,1,"Ansar Allah; Yemen Data Project","Local partner-Regional","On May 6, pro-Houthi forces claimed to have destroyed a vehicle belonging to Saudi-affiliated forces with an IED in Al-Mijazah area of Asir governorate, with no report of fatalities nor injuries.",0,1576530940,SAU
6453234,682,SAU4895,4895,"06 May 2019",2019,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Military Forces of Saudi Arabia (2015-)",,1,18,"Middle East","Saudi Arabia",Jizan,Jazan,,Jizan,16.8892,42.5511,3,"Ansar Allah; Yemen Data Project","Local partner-Regional","On May 6, pro-Houthi forces claimed to have fired artillery at Saudi forces in Al-Mashriq area of Jizan governorate, injuring a number of soldiers.",0,1576530940,SAU
6453235,682,SAU4897,4897,"06 May 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Najran,Najran,,"Al Buqa",17.4712,44.6451,1,"Ansar Allah; Yemen Data Project","Local partner-Regional","On May 6, pro-Houthi forces claimed to have killed 3 Saudi-affiliated fighters with explosive devices in Al-Buqa' desert area off Najran governorate.",3,1576530940,SAU
6453238,682,SAU4888,4888,"05 May 2019",2019,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Asir,"Zahran al Janub",,"Al Raboah",17.576,43.3246,1,"26 September News; Yemen Data Project","Local partner-Regional","On May 5, pro-Houthi forces claimed to have destroyed a 23mm weapon belonging to Saudi or Saudi-affiliated forces with artillery fire in Al-Rabu'ah area of Asir governorate, with no report of fatalities nor injuries.",0,1576530940,SAU
6453240,682,SAU4887,4887,"05 May 2019",2019,1,Battles,"Armed clash","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Asir,"Zahran al Janub",,"Al Mijazah",17.5204,43.5667,1,"26 September News; Yemen Data Project","Local partner-Regional","On May 5, pro-Houthi forces claimed to have killed 14 Saudi-affiliated fighters with sniper fire in Asir governorate, 6 off Alb border crossing area and 8 in Al-Mijazah area.",8,1576530940,SAU
6453242,682,SAU4890,4890,"05 May 2019",2019,1,Battles,"Armed clash","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Jizan,"Al Harth",,"Jabal ad Dud",16.7602,43.2406,1,"26 September News; Yemen Data Project","Local partner-Regional","On May 5, pro-Houthi forces claimed to have killed 5 Saudi-affiliated fighters with sniper fire in Al-Dud area of Jizan governorate.",5,1576530940,SAU
6453271,682,SAU4884,4884,"04 May 2019",2019,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Asir,"Zahran al Janub",,"Aqabat al Alb",17.5667,43.4,2,"Yemen News Agency SABA; Yemen Data Project","Local partner-Regional","On 4 May, pro-Houthi forces reportedly fired a guided missile at Saudi-affiliated groups off Al Alb border crossing of Asir province, southern Saudi Arabia, killing and injuring several of them. Unknown number of fatalities and injuries coded as 10.",10,1576530940,SAU
